rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.44.9,52,52,50,57,新加坡
2,104.18.46.194,53,59,52,53,洛杉矶
3,104.18.40.54,56,54,56,56,新加坡
4,172.64.229.6,60,59,60,63,其他
5,172.64.229.4,62,62,62,61,其他
6,172.64.229.7,62,81,61,62,其他
7,172.64.229.8,62,62,61,62,其他
8,172.64.229.3,62,62,62,63,其他
9,172.64.229.5,63,59,63,63,其他
10,104.16.0.8,163,163,163,165,美国
