rank,ip,latency_ms,sample1,sample2,sample3,region
1,172.64.229.7,59,58,60,59,其他
2,172.64.229.3,59,59,59,60,其他
3,172.64.229.5,60,60,61,59,其他
4,172.64.229.6,61,61,60,61,其他
5,172.64.229.4,61,60,64,61,其他
6,172.64.229.8,61,61,62,61,其他
7,172.66.0.7,165,162,165,180,其他
8,172.64.230.9,165,163,165,206,其他
9,172.64.230.6,166,171,166,160,其他
10,172.64.230.5,166,172,164,166,其他
