rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.41.184,53,52,53,56,新加坡
2,172.64.229.3,60,62,59,60,其他
3,172.64.229.4,60,64,60,60,其他
4,172.64.229.5,61,63,61,60,其他
5,172.64.229.8,62,62,61,64,其他
6,172.64.229.6,63,66,63,61,其他
7,172.64.229.7,63,64,63,60,其他
8,104.18.0.4,161,162,161,161,其他
9,104.19.0.3,162,162,161,165,美国
10,104.16.93.104,162,161,184,162,美国
