rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.34.75,51,51,50,53,香港
2,172.64.229.6,60,60,59,60,其他
3,172.64.229.7,61,61,63,61,其他
4,172.64.229.8,61,62,61,60,其他
5,172.64.229.3,62,62,64,62,其他
6,172.64.229.4,62,62,62,60,其他
7,172.64.229.5,62,62,62,62,其他
8,104.18.141.165,162,165,162,161,美国
9,104.19.0.8,162,168,162,162,其他
10,172.64.230.5,163,163,163,168,其他
