rank,ip,latency_ms,sample1,sample2,sample3,region
1,172.64.229.4,60,60,60,65,其他
2,172.64.229.8,61,64,61,59,其他
3,172.64.229.5,62,62,62,61,其他
4,172.64.229.6,64,64,87,60,其他
5,104.17.0.4,162,195,162,161,其他
6,103.21.244.1,162,162,162,163,美国
7,103.21.244.5,162,162,162,165,美国
8,104.16.0.4,162,167,161,162,其他
9,104.17.149.233,163,162,163,168,香港
10,172.64.230.9,163,163,167,163,其他
