rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.43.146,52,55,52,52,新加坡
2,104.18.43.157,53,53,54,52,新加坡
3,172.64.229.7,61,67,61,61,其他
4,172.64.229.4,61,61,61,67,其他
5,172.64.229.8,62,66,62,61,其他
6,172.64.229.6,62,63,61,62,其他
7,172.64.229.3,63,65,63,63,其他
8,172.64.229.5,63,63,63,62,其他
9,104.18.141.165,161,165,161,159,美国
10,104.16.0.7,161,161,165,160,其他
