rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.47.108,52,51,59,52,新加坡
2,104.18.40.219,53,57,52,53,新加坡
3,104.18.46.27,54,53,54,55,新加坡
4,104.18.46.77,56,56,52,56,新加坡
5,172.64.229.6,58,58,58,59,其他
6,172.64.229.4,60,61,59,60,其他
7,172.64.229.5,60,60,59,62,其他
8,172.64.229.3,61,61,59,61,其他
9,172.64.229.7,61,61,63,61,其他
10,172.64.229.8,61,61,66,61,其他
