rank,ip,latency_ms,sample1,sample2,sample3,region
1,172.64.229.7,63,62,64,63,其他
2,172.64.229.5,63,63,63,61,其他
3,172.64.229.8,64,64,64,64,其他
4,172.64.229.3,64,64,63,68,其他
5,172.64.229.4,65,65,66,61,其他
6,172.64.229.6,65,64,70,65,其他
7,104.17.148.173,162,164,162,162,香港
8,104.16.157.153,163,166,162,163,香港
9,104.17.220.147,163,163,166,163,洛杉矶
10,104.18.0.2,163,163,169,163,美国
