rank,ip,latency_ms,sample1,sample2,sample3,region
1,104.18.44.201,57,57,58,54,新加坡
2,172.64.229.8,61,61,58,61,其他
3,172.64.229.4,62,63,62,62,其他
4,172.64.229.5,62,61,63,62,其他
5,172.64.229.3,62,63,62,61,其他
6,172.64.229.7,63,63,63,63,其他
7,172.64.229.6,64,63,64,66,其他
8,104.17.0.7,163,163,169,163,其他
9,172.66.0.7,164,164,164,162,其他
10,172.66.0.8,164,167,164,163,其他
