rank,ip,latency_ms,sample1,sample2,sample3,region
1,172.64.229.5,62,61,63,62,其他
2,172.64.229.6,63,62,63,69,其他
3,172.64.229.3,63,75,63,63,其他
4,172.64.229.7,65,65,65,63,其他
5,172.64.229.4,65,65,63,71,其他
6,103.21.244.6,163,167,163,163,美国
7,172.64.230.2,163,167,163,162,其他
8,172.64.230.7,163,167,163,163,其他
9,172.64.230.6,164,167,163,164,其他
10,103.21.244.3,165,162,165,165,美国
