rank,ip,latency_ms,sample1,sample2,sample3,region
1,172.64.229.5,59,59,58,60,其他
2,172.64.229.3,60,60,61,60,其他
3,172.64.229.4,61,61,59,61,其他
4,172.64.229.6,61,60,61,63,其他
5,172.64.229.8,63,68,63,62,其他
6,172.64.230.4,163,163,163,164,其他
7,172.66.0.8,164,164,162,167,其他
8,172.64.230.1,165,164,165,179,其他
9,172.64.230.7,165,165,165,169,其他
10,172.66.0.7,166,166,166,171,其他
